,FAC_NAME,FAC_LAT,FAC_LONG,DFR_URL,PWSID,FISCAL_YEAR,STATE,STATE_NAME,EPA_REGION,PWS_TYPE_CODE,PWS_NAME,CITY_SERVED,STATE_CODE,SOURCE_WATER,IS_TRIBAL,SYSTEM_SIZE,POPULATION_SERVED_COUNT
34,JACKSONVILLE UNIVERSITY,30.35342,-81.604505,http://echo.epa.gov/detailed-facility-report?fid=110020959177,FL2160568,2017,FL,Florida,4,CWS,JACKSONVILLE UNIVERSITY,JACKSONVILLE,FL,GW,N,Medium,3480
35,JACKSONVILLE UNIVERSITY,30.35342,-81.604505,http://echo.epa.gov/detailed-facility-report?fid=110020959177,FL2160568,2015,FL,Florida,4,CWS,JACKSONVILLE UNIVERSITY,JACKSONVILLE,FL,GW,N,Medium,3480
36,"YUKON INDUSTRIES, LTD.",30.233340000000002,-81.700313,http://echo.epa.gov/detailed-facility-report?fid=110006778852,FL2160601,2014,FL,Florida,4,CWS,"YUKON INDUSTRIES, LTD.",JACKSONVILLE,FL,GW,N,Very Small,40
37,"YUKON INDUSTRIES, LTD.",30.233340000000002,-81.700313,http://echo.epa.gov/detailed-facility-report?fid=110006778852,FL2160601,2013,FL,Florida,4,CWS,"YUKON INDUSTRIES, LTD.",JACKSONVILLE,FL,GW,N,Very Small,40
38,"YUKON INDUSTRIES, LTD.",30.233340000000002,-81.700313,http://echo.epa.gov/detailed-facility-report?fid=110006778852,FL2160601,2012,FL,Florida,4,CWS,"YUKON INDUSTRIES, LTD.",JACKSONVILLE,FL,GW,N,Very Small,40
39,"YUKON INDUSTRIES, LTD.",30.233340000000002,-81.700313,http://echo.epa.gov/detailed-facility-report?fid=110006778852,FL2160601,2011,FL,Florida,4,CWS,"YUKON INDUSTRIES, LTD.",JACKSONVILLE,FL,GW,N,Very Small,40
40,"YUKON INDUSTRIES, LTD.",30.233340000000002,-81.700313,http://echo.epa.gov/detailed-facility-report?fid=110006778852,FL2160601,2018,FL,Florida,4,CWS,"YUKON INDUSTRIES, LTD.",JACKSONVILLE,FL,GW,N,Very Small,43
41,"YUKON INDUSTRIES, LTD.",30.233340000000002,-81.700313,http://echo.epa.gov/detailed-facility-report?fid=110006778852,FL2160601,2016,FL,Florida,4,CWS,"YUKON INDUSTRIES, LTD.",JACKSONVILLE,FL,GW,N,Very Small,40
42,"YUKON INDUSTRIES, LTD.",30.233340000000002,-81.700313,http://echo.epa.gov/detailed-facility-report?fid=110006778852,FL2160601,2020,FL,Florida,4,CWS,"YUKON INDUSTRIES, LTD.",JACKSONVILLE,FL,GW,N,Very Small,43
43,"YUKON INDUSTRIES, LTD.",30.233340000000002,-81.700313,http://echo.epa.gov/detailed-facility-report?fid=110006778852,FL2160601,2015,FL,Florida,4,CWS,"YUKON INDUSTRIES, LTD.",JACKSONVILLE,FL,GW,N,Very Small,40
44,"YUKON INDUSTRIES, LTD.",30.233340000000002,-81.700313,http://echo.epa.gov/detailed-facility-report?fid=110006778852,FL2160601,2017,FL,Florida,4,CWS,"YUKON INDUSTRIES, LTD.",JACKSONVILLE,FL,GW,N,Very Small,40
45,"YUKON INDUSTRIES, LTD.",30.233340000000002,-81.700313,http://echo.epa.gov/detailed-facility-report?fid=110006778852,FL2160601,2019,FL,Florida,4,CWS,"YUKON INDUSTRIES, LTD.",JACKSONVILLE,FL,GW,N,Very Small,43
46,STUDY ESTATES MHP,30.39957,-81.75395,http://echo.epa.gov/detailed-facility-report?fid=110006778594,FL2160654,2018,FL,Florida,4,CWS,STUDY ESTATES MHP,JACKSONVILLE,FL,GW,N,Very Small,60
47,STUDY ESTATES MHP,30.39957,-81.75395,http://echo.epa.gov/detailed-facility-report?fid=110006778594,FL2160654,2019,FL,Florida,4,CWS,STUDY ESTATES MHP,JACKSONVILLE,FL,GW,N,Very Small,60
48,STUDY ESTATES MHP,30.39957,-81.75395,http://echo.epa.gov/detailed-facility-report?fid=110006778594,FL2160654,2015,FL,Florida,4,CWS,STUDY ESTATES MHP,JACKSONVILLE,FL,GW,N,Very Small,52
49,STUDY ESTATES MHP,30.39957,-81.75395,http://echo.epa.gov/detailed-facility-report?fid=110006778594,FL2160654,2020,FL,Florida,4,CWS,STUDY ESTATES MHP,JACKSONVILLE,FL,GW,N,Very Small,60
50,STUDY ESTATES MHP,30.39957,-81.75395,http://echo.epa.gov/detailed-facility-report?fid=110006778594,FL2160654,2014,FL,Florida,4,CWS,STUDY ESTATES MHP,JACKSONVILLE,FL,GW,N,Very Small,52
51,STUDY ESTATES MHP,30.39957,-81.75395,http://echo.epa.gov/detailed-facility-report?fid=110006778594,FL2160654,2013,FL,Florida,4,CWS,STUDY ESTATES MHP,JACKSONVILLE,FL,GW,N,Very Small,52
52,STUDY ESTATES MHP,30.39957,-81.75395,http://echo.epa.gov/detailed-facility-report?fid=110006778594,FL2160654,2012,FL,Florida,4,CWS,STUDY ESTATES MHP,JACKSONVILLE,FL,GW,N,Very Small,52
53,STUDY ESTATES MHP,30.39957,-81.75395,http://echo.epa.gov/detailed-facility-report?fid=110006778594,FL2160654,2011,FL,Florida,4,CWS,STUDY ESTATES MHP,JACKSONVILLE,FL,GW,N,Very Small,52
54,STUDY ESTATES MHP,30.39957,-81.75395,http://echo.epa.gov/detailed-facility-report?fid=110006778594,FL2160654,2016,FL,Florida,4,CWS,STUDY ESTATES MHP,JACKSONVILLE,FL,GW,N,Very Small,60
55,STUDY ESTATES MHP,30.39957,-81.75395,http://echo.epa.gov/detailed-facility-report?fid=110006778594,FL2160654,2017,FL,Florida,4,CWS,STUDY ESTATES MHP,JACKSONVILLE,FL,GW,N,Very Small,60
56,TROUT RIVER MOBILE HOME PARK,30.41607,-81.73501,http://echo.epa.gov/detailed-facility-report?fid=110013194177,FL2161192,2011,FL,Florida,4,CWS,TROUT RIVER MOBILE HOME PARK,JACKSONVILLE,FL,GW,N,Very Small,60
57,BARCELONA APARTMENTS,30.19333,-81.70322,http://echo.epa.gov/detailed-facility-report?fid=110013748267,FL2161337,2014,FL,Florida,4,CWS,BARCELONA APARTMENTS,JACKSONVILLE,FL,GW,N,Very Small,56
58,BARCELONA APARTMENTS,30.19333,-81.70322,http://echo.epa.gov/detailed-facility-report?fid=110013748267,FL2161337,2013,FL,Florida,4,CWS,BARCELONA APARTMENTS,JACKSONVILLE,FL,GW,N,Very Small,56
59,BARCELONA APARTMENTS,30.19333,-81.70322,http://echo.epa.gov/detailed-facility-report?fid=110013748267,FL2161337,2012,FL,Florida,4,CWS,BARCELONA APARTMENTS,JACKSONVILLE,FL,GW,N,Very Small,56
60,BARCELONA APARTMENTS,30.19333,-81.70322,http://echo.epa.gov/detailed-facility-report?fid=110013748267,FL2161337,2011,FL,Florida,4,CWS,BARCELONA APARTMENTS,JACKSONVILLE,FL,GW,N,Very Small,56
61,BARCELONA APARTMENTS,30.19333,-81.70322,http://echo.epa.gov/detailed-facility-report?fid=110013748267,FL2161337,2020,FL,Florida,4,CWS,BARCELONA APARTMENTS,JACKSONVILLE,FL,GW,N,Very Small,56
62,BARCELONA APARTMENTS,30.19333,-81.70322,http://echo.epa.gov/detailed-facility-report?fid=110013748267,FL2161337,2018,FL,Florida,4,CWS,BARCELONA APARTMENTS,JACKSONVILLE,FL,GW,N,Very Small,56
63,BARCELONA APARTMENTS,30.19333,-81.70322,http://echo.epa.gov/detailed-facility-report?fid=110013748267,FL2161337,2015,FL,Florida,4,CWS,BARCELONA APARTMENTS,JACKSONVILLE,FL,GW,N,Very Small,56
64,BARCELONA APARTMENTS,30.19333,-81.70322,http://echo.epa.gov/detailed-facility-report?fid=110013748267,FL2161337,2019,FL,Florida,4,CWS,BARCELONA APARTMENTS,JACKSONVILLE,FL,GW,N,Very Small,56
65,BARCELONA APARTMENTS,30.19333,-81.70322,http://echo.epa.gov/detailed-facility-report?fid=110013748267,FL2161337,2017,FL,Florida,4,CWS,BARCELONA APARTMENTS,JACKSONVILLE,FL,GW,N,Very Small,56
66,BARCELONA APARTMENTS,30.19333,-81.70322,http://echo.epa.gov/detailed-facility-report?fid=110013748267,FL2161337,2016,FL,Florida,4,CWS,BARCELONA APARTMENTS,JACKSONVILLE,FL,GW,N,Very Small,56
67,OLDCASTLE PRECAST INC.,30.38022,-81.74084,http://echo.epa.gov/detailed-facility-report?fid=110009691244,FL2164617,2016,FL,Florida,4,NTNCWS,OLD CASTLE PRECAST,JACKSONVILLE,FL,GW,N,Very Small,25
